first_name,last_name,state,job_title,salary,tenure,credit_score,age,sex,loan_amount,interest_rate,checking_savings,existing_debt
Joaquin,Bony,WI,Software Test Engineer III,$51553.80,8,654,37,M,$271560.20,3.3,6396.74,$19885.89
Jeanne,Lorent,KY,Tax Accountant,$28907.12,16,512,36,F,$364002.46,3.7,3769.29,$42474.84
Hamlin,Archley,CT,Financial Advisor,$31965.31,25,358,85,M,$251322.46,2.9,-620.09,$7854.27
Ethelbert,Arrowsmith,CA,Office Assistant II,$46730.30,13,620,83,M,$1650.09,3.5,779.49,$67617.99
Delano,Georgot,CA,Senior Cost Accountant,$27928.13,18,787,64,M,$163629.12,3.8,-904.69,$28745.19
Leonardo,McLucas,AL,Senior Developer,$31786.83,28,758,55,M,$128359.47,2.7,3620.38,$3042.31
Alyosha,Bohike,TX,Office Assistant II,$33536.76,10,698,80,M,$372802.41,3.0,1054.22,$65083.89
Trisha,Arkell,MO,VP Marketing,$40401.98,7,729,69,F,$421300.62,3.3,4053.62,$45980.65
Niki,Lavallin,CA,Computer Systems Analyst IV,$50833.31,22,673,19,F,$369970.15,2.6,6627.66,$11031.25
Jaymie,Truelock,CA,Nuclear Power Engineer,$52690.79,20,515,82,M,$78730.22,2.5,6169.05,$67568.36
Jeremy,Mougel,TX,Budget/Accounting Analyst III,$51536.30,13,833,27,M,$41369.63,2.5,7166.06,$73378.49
Nert,Tremelling,NV,Marketing Manager,$34597.44,20,474,25,F,$190761.14,2.7,616.06,$71240.58
Thor,Roofe,TX,Automation Specialist III,$35306.25,11,354,25,M,$391554.00,3.9,4259.88,$17999.71
Shannan,Niche,MO,Statistician IV,$28739.89,10,438,77,M,$195537.25,3.9,5670.48,$17980.88
Ag,Castelow,MA,Health Coach I,$32410.15,10,361,32,F,$123390.73,3.9,9996.33,$55404.02
Shara,Burree,CA,VP Sales,$43021.63,7,732,37,F,$475848.19,3.6,8157.19,$13323.60
Krispin,Matelaitis,PA,Electrical Engineer,$49544.17,23,589,22,M,$337378.75,2.8,4055.72,$2334.22
Merla,Weavill,OR,Data Coordiator,$28886.80,3,660,68,F,$253641.42,3.2,-329.4,$21935.60
Nonnah,Fairfull,NY,Administrative Officer,$42579.32,24,840,39,F,$288157.37,3.8,8274.5,$3289.16
Stacey,Lawrence,AZ,Electrical Engineer,$45048.98,8,467,39,F,$396943.80,2.6,23.06,$23836.46
Yolande,Britnell,ID,Cost Accountant,$46005.59,25,402,55,F,$450513.58,3.1,3969.19,$44345.53
Alicea,Whiskerd,MN,Senior Cost Accountant,$37485.44,3,420,71,F,$77584.36,2.9,9595.44,$16061.49
Victor,Simenot,CA,Chief Design Engineer,$54977.92,2,809,27,M,$349100.88,3.2,6028.09,$5636.52
Mada,Bellay,LA,Developer I,$49846.65,13,607,82,F,$37421.04,3.1,5101.98,$47202.97
Stacee,Hackly,CA,Food Chemist,$31009.93,10,760,65,F,$233739.10,2.9,4280.22,$18033.19
Isidore,Szymoni,TN,Nuclear Power Engineer,$38435.44,13,665,36,M,$425624.73,3.6,-211.04,$38668.66
Rickey,Glowacki,LA,Quality Engineer,$46866.39,21,640,54,M,$170640.62,3.6,5624.74,$39795.32
Dian,Gurys,MI,Analog Circuit Design manager,$35773.08,14,672,20,F,$464819.83,3.5,1065.63,$24028.42
Fedora,Debrick,FL,Electrical Engineer,$53991.97,29,526,75,F,$376221.40,2.9,4105.14,$23259.56
Sammie,Cutting,KS,Paralegal,$43904.42,22,451,34,M,$198493.63,3.9,8882.24,$34775.47
Ofella,Broinlich,IA,Web Designer I,$35612.39,30,745,41,F,$372600.39,3.2,5286.1,$38058.84
Sarena,Tewkesbury.,TX,Sales Representative,$48883.93,22,615,62,F,$405529.70,2.7,419.39,$16990.69
Teddie,McGarrity,TX,Technical Writer,$46989.39,7,794,85,M,$450445.99,3.7,9006.37,$46504.09
Evanne,Monkeman,TX,Marketing Manager,$40772.28,30,477,66,F,$204297.97,2.8,7572.95,$57320.97
Quill,Pawden,GA,Analog Circuit Design manager,$42195.75,6,646,25,M,$390442.78,3.8,-559.11,$20968.13
Worden,Nottram,SC,Community Outreach Specialist,$51840.71,7,487,34,M,$177415.72,2.7,5421.68,$32061.52
Lib,Daverin,NY,Occupational Therapist,$35551.44,6,632,73,F,$95391.09,3.6,8998.5,$21767.36
Charity,Aldin,AL,Quality Engineer,$38896.23,28,682,31,F,$91669.79,2.5,9937.54,$6010.60
Hendrick,Holton,CA,Web Designer III,$46726.47,28,519,56,M,$382906.90,3.4,8858.48,$47348.04
Dewie,Tolworth,CA,Account Executive,$46988.91,28,818,41,M,$430726.19,2.8,4604.93,$63084.14
Amitie,Lampitt,CA,Occupational Therapist,$28742.74,9,837,54,F,$435140.37,2.8,6319.7,$55023.33
Cosme,Limbert,IN,Actuary,$27605.84,16,356,64,M,$363628.36,2.9,2077.09,$59601.11
Neils,Lindenberg,TX,Computer Systems Analyst II,$46652.44,6,741,66,M,$388024.19,2.8,9131.96,$33324.72
Melisent,Mattiussi,TX,Executive Secretary,$52764.06,21,674,38,F,$393591.63,2.6,7502.67,$5925.75
Denney,Higgen,FL,Research Assistant III,$48162.36,1,386,70,M,$303657.30,2.9,-354.93,$34741.67
Bernard,Zumbusch,DC,Help Desk Operator,$49716.70,2,390,72,M,$208101.88,3.5,9496.41,$52141.40
Reinwald,Casarino,FL,Senior Financial Analyst,$54959.27,9,350,44,M,$284854.65,3.2,634.68,$52009.39
Gradey,Rhodef,WA,Programmer II,$29236.25,1,734,56,M,$330567.48,3.2,8372.91,$65756.97
Tomkin,Braunlein,FL,Senior Sales Associate,$38782.92,16,818,22,M,$495753.51,2.6,5416.26,$21208.74
Kayle,Snelgar,CA,Cost Accountant,$47698.29,4,554,85,F,$459702.53,2.9,2374.83,$41209.77
Mohandas,Cudworth,CA,GIS Technical Architect,$26757.99,26,452,45,M,$315570.98,4.0,5732.29,$55721.87
Clayborn,Kernaghan,NY,Software Consultant,$55622.48,13,604,83,M,$388504.75,2.9,9571.18,$12286.90
Cully,Orehead,FL,Structural Engineer,$30507.57,21,424,71,M,$204774.02,3.8,1718.32,$63675.72
Lula,Swadlinge,OH,Software Test Engineer IV,$44063.32,1,722,71,F,$146534.06,3.9,8930.97,$49428.90
Melisent,Oliffe,IN,Account Executive,$33643.16,5,655,85,F,$206840.84,3.9,9971.79,$34095.53
Tammie,Checchetelli,RI,Safety Technician II,$45526.82,12,556,84,M,$416618.28,3.3,7741.3,$13488.44
Cosetta,Ilieve,OH,Geological Engineer,$54814.77,27,742,58,F,$48068.13,2.6,3238.94,$20626.25
Mendy,Atlee,TX,Physical Therapy Assistant,$37793.49,1,804,47,M,$181281.58,3.1,-108.76,$61694.18
Malissia,Tookill,MA,Marketing Manager,$42686.49,11,793,77,F,$154188.60,3.6,5692.16,$70141.98
Caro,Melledy,GA,Cost Accountant,$48935.51,14,434,19,F,$215352.72,3.9,9317.57,$71029.31
Ives,Fibbit,KS,Senior Editor,$51916.48,13,679,72,M,$152925.22,3.5,3642.85,$24433.10
Prentiss,Bruinsma,TX,Automation Specialist IV,$51279.73,5,710,20,M,$354814.46,2.8,3927.53,$62083.50
Darcy,Charman,CA,Quality Engineer,$58264.62,9,436,49,F,$350908.60,3.3,2534.91,$46846.41
Meredith,Petranek,MN,Clinical Specialist,$54995.01,9,371,22,M,$94683.36,3.9,2170.51,$47849.85
Arty,Semonin,CA,Quality Control Specialist,$38311.72,20,564,25,M,$431304.02,2.9,6814.42,$49940.80
Gerda,Keming,NY,General Manager,$40480.52,16,720,67,F,$335732.83,3.3,7975.48,$4462.86
Jess,Ammer,CA,Desktop Support Technician,$36084.69,7,485,76,F,$387803.92,2.8,9695.08,$68650.34
Isis,Kettles,CO,Assistant Professor,$28584.85,25,566,26,F,$165536.40,3.2,1140.53,$46912.43
Kattie,Hanney,CA,Physical Therapy Assistant,$42795.43,4,365,31,F,$497333.73,4.0,-504.79,$34477.50
Cart,Craske,NY,Civil Engineer,$49142.02,13,843,72,M,$284609.56,3.1,8583.7,$16196.16
Teodorico,Pinnington,OK,Quality Control Specialist,$37099.72,8,723,47,M,$472720.74,3.8,-782.19,$28685.18
Jeannie,Seeks,MT,Civil Engineer,$35367.66,2,651,58,F,$233517.22,3.3,2312.7,$45688.04
Sher,Binford,LA,Senior Cost Accountant,$30497.38,29,847,83,F,$124078.18,2.7,1072.77,$32320.25
Ardyth,Petrolli,TX,Software Engineer II,$26763.15,1,644,39,F,$161543.53,3.5,9947.94,$34043.67
Dorothea,Chatto,LA,Developer II,$32117.84,9,790,31,F,$283548.35,3.0,1735.51,$67985.42
Dianne,Minelli,FL,Senior Editor,$40882.02,7,640,44,F,$220476.80,2.7,5168.08,$6906.64
Leann,Andreone,CT,Structural Engineer,$56261.90,29,352,66,F,$58287.84,2.9,685.4,$13456.07
Raphael,Beddie,FL,Physical Therapy Assistant,$42989.69,2,568,52,M,$263267.61,2.8,5549.68,$29013.18
Jocelin,Sighart,VA,GIS Technical Architect,$56818.42,16,511,81,F,$397802.97,3.8,1258.78,$50358.38
Grace,Scoggins,WV,Product Engineer,$51425.18,28,465,60,M,$317184.98,2.5,4206.88,$51785.53
Gallagher,Gianneschi,NC,Financial Advisor,$44249.25,16,435,50,M,$78573.16,2.7,9280.85,$47035.81
Alexina,Vagg,NY,Product Engineer,$35223.06,15,418,78,F,$107609.43,2.8,5196.08,$47660.38
Aloysius,Pellissier,OH,Quality Engineer,$41946.51,23,383,56,M,$165947.94,4.0,5500.68,$50028.55
Aleece,McBrearty,TX,Teacher,$52411.98,25,556,76,F,$171446.34,2.6,1623.59,$73956.32
Midge,McCord,FL,Staff Scientist,$50493.14,9,789,82,F,$431695.59,3.3,6191.13,$30808.36
Gabriele,Fellman,CA,Engineer I,$30295.37,13,593,65,M,$492846.10,3.8,1119.38,$57134.36
Lynn,Tiddeman,AR,Data Coordiator,$36013.83,15,622,39,F,$32060.23,3.9,6735.28,$18121.69
Laurie,Nolda,IN,Physical Therapy Assistant,$32386.56,28,372,50,F,$282721.47,3.1,7685.57,$62959.05
Lynn,Colbrun,AZ,Health Coach I,$48558.57,15,723,51,F,$363243.68,3.8,272.69,$26843.68
Napoleon,Woolf,DC,Senior Developer,$57415.33,30,599,22,M,$436600.71,2.5,7199.93,$50874.13
Hilary,Wallage,MO,Analog Circuit Design manager,$35293.71,16,497,53,M,$471107.94,2.5,6123.76,$65040.60
Merell,Hoys,NY,Staff Accountant III,$55104.43,5,476,70,M,$96315.75,3.1,4804.85,$68951.40
Wake,Giannassi,GA,VP Quality Control,$32582.55,23,453,46,M,$64245.74,3.4,1247.05,$45398.10
Lelah,Petrenko,CA,Environmental Specialist,$56882.73,4,812,84,F,$430822.20,3.9,815.15,$6267.81
Merv,Lamont,WV,VP Accounting,$40070.21,11,451,19,M,$431700.70,2.7,8594.04,$20829.45
Theodoric,Geake,CO,Geologist III,$46486.68,12,769,18,M,$272111.95,2.9,9719.56,$69089.94
Babb,Beevor,LA,Quality Control Specialist,$36270.53,18,604,25,F,$254756.66,3.1,7262.07,$21817.74
Domenic,Jaquemar,TX,Analyst Programmer,$54230.45,25,747,19,M,$405999.31,3.6,9608.22,$47715.47
Anestassia,Bandiera,DC,Office Assistant I,$52166.17,21,728,51,F,$272624.21,2.7,1439.58,$12577.08
Webster,Bushen,UT,Administrative Assistant IV,$47964.18,14,568,67,M,$487665.62,2.6,-245.19,$7152.73
Izabel,Gormally,WA,Sales Associate,$33396.19,28,832,30,F,$457325.90,3.0,1162.71,$68272.85
Federica,Riping,IA,Legal Assistant,$39171.01,18,613,71,F,$432784.68,2.8,9238.22,$4398.59
Eran,Mityushin,KY,Senior Sales Associate,$31363.12,13,363,73,F,$258665.27,3.8,7620.56,$49013.98
Cointon,Tiplady,CA,Quality Control Specialist,$54525.04,29,783,18,M,$320401.22,2.8,6835.79,$61727.80
Noby,Mynett,AL,Senior Cost Accountant,$44518.32,26,784,35,M,$390476.46,3.8,9599.15,$65910.45
Flo,Futcher,NY,Human Resources Manager,$44744.86,16,454,30,F,$490698.47,3.6,6296.79,$44059.77
Lindsay,Dermott,CA,Assistant Manager,$44434.99,25,774,83,M,$167617.01,3.3,400.75,$31858.36
Malinde,Sandiland,CO,Recruiter,$43417.97,8,569,52,F,$233837.96,3.1,-101.52,$2694.68
Nichole,Guilloneau,OH,Help Desk Technician,$34116.20,1,599,74,M,$152165.48,2.6,1273.59,$33155.28
Laurens,Parnby,CA,Tax Accountant,$34097.51,9,781,19,M,$433298.76,3.0,320.75,$64332.67
Cliff,Bantham,UT,Structural Engineer,$57174.59,26,631,24,M,$413400.08,2.7,2496.67,$30200.97
Terrie,Elnaugh,NM,Senior Quality Engineer,$28304.31,19,593,41,F,$399723.35,3.4,1271.24,$56752.29
Mallissa,Goldine,NJ,Civil Engineer,$34398.56,23,527,62,F,$221246.31,3.8,8943.74,$16253.15
Patrizio,Vanne,CO,VP Marketing,$54063.47,13,798,44,M,$212669.79,3.9,5287.21,$56545.50
Laurianne,Pether,TX,Data Coordiator,$52215.34,10,428,75,F,$315108.48,3.0,2127.96,$14088.67
Tadd,Badham,DC,Software Engineer IV,$49251.03,10,604,59,M,$81815.59,3.9,7963.24,$4909.15
Neille,Upcraft,FL,Desktop Support Technician,$46079.24,22,590,53,F,$371820.14,3.3,5081.05,$36221.38
Stafani,Whear,NY,Staff Accountant IV,$34268.52,18,747,47,F,$453679.89,2.8,6298.82,$4017.33
Francyne,Hordle,NE,Structural Engineer,$28717.59,29,695,23,F,$196353.42,3.4,565.76,$46139.44
Tobias,Bainbrigge,GA,Staff Scientist,$27607.60,11,691,33,M,$67843.14,2.6,9107.75,$8633.66
Carney,Fell,LA,Legal Assistant,$33826.53,5,677,24,M,$369146.50,3.0,9196.71,$37352.92
Malinde,Saynor,AZ,Director of Sales,$34354.67,9,806,73,F,$236109.63,2.7,7147.9,$71835.52
Lisbeth,Shimon,PA,Sales Representative,$53991.69,22,360,52,F,$47781.05,3.2,7603.86,$59875.94
Ely,Boxhill,AZ,Budget/Accounting Analyst IV,$32171.36,25,363,74,M,$344470.59,3.3,9216.1,$64078.10
Paulita,MacGebenay,NE,Physical Therapy Assistant,$30861.47,15,697,39,F,$291146.01,2.7,8983.11,$52288.49
Armando,Hunday,MO,Senior Financial Analyst,$27786.51,22,722,70,M,$230425.97,3.9,4924.63,$67290.31
Anson,Bradford,NC,VP Marketing,$41170.84,28,727,29,M,$344338.68,3.4,-499.22,$25785.02
Gabriello,Sclater,TX,Accounting Assistant I,$42136.73,22,659,55,M,$370138.68,3.0,7484.97,$72925.42
Sydel,Anfusso,NY,Statistician I,$44182.96,11,433,22,F,$21689.26,2.7,6246.86,$17279.33
Magdalen,Catlow,MN,Senior Developer,$53658.83,2,421,33,F,$395312.64,3.6,6189.63,$58555.13
Niki,Bensen,DC,Geologist IV,$45080.14,21,390,52,M,$96713.82,3.2,3665.12,$19709.12
Hedy,Olive,AZ,Administrative Assistant II,$52600.62,15,709,82,F,$226773.07,3.4,6674.52,$14233.16
Valentijn,McCaughren,CA,VP Product Management,$55010.14,13,664,68,M,$164844.79,3.2,948.23,$50046.54
Chandal,Bubeer,NC,Speech Pathologist,$27202.31,19,691,27,F,$191392.19,3.4,-807.86,$2333.62
Kendall,Borsay,VA,VP Sales,$37891.53,17,820,55,M,$85706.30,3.4,6678.78,$48556.28
Estelle,Oxx,LA,Programmer Analyst I,$48287.74,10,563,43,F,$468706.03,2.8,8251.61,$57803.51
Coriss,Moorhead,ND,Research Assistant II,$39711.25,2,563,61,F,$160900.17,3.5,6582.24,$51490.84
Catherine,Gradly,NM,Research Associate,$32226.40,18,391,50,F,$385596.54,2.9,7538.1,$57398.64
Pearce,Meo,TX,Registered Nurse,$51967.32,25,701,49,M,$132569.67,3.1,9700.31,$60046.24
Eolande,Huddleston,OK,Help Desk Operator,$42779.50,18,421,42,F,$259247.87,2.9,6046.65,$38923.23
Nestor,Leechman,TX,Product Engineer,$49843.95,23,837,80,M,$49970.42,2.9,7795.73,$41486.53
Ronica,Norcock,CA,Associate Professor,$57836.98,24,535,71,F,$219693.09,4.0,4354.34,$7419.61
Adriaens,O'Sheeryne,SC,Business Systems Development Analyst,$28135.03,7,592,48,F,$258757.20,3.5,1129.05,$34902.41
Marita,Dunlop,MN,Web Developer II,$53815.82,2,745,73,F,$186850.64,3.8,9612.29,$14547.15
Jasun,Mathissen,FL,Accountant III,$39596.30,10,491,42,M,$318603.66,3.3,9236.89,$10334.31
Frans,Midghall,KS,Clinical Specialist,$31866.40,21,488,80,M,$232705.92,3.7,1814.3,$43194.41
Stella,Normanvell,DC,Quality Engineer,$41804.95,3,422,46,F,$10284.31,3.6,9580.13,$60101.01
Gillie,Grimme,MO,Senior Editor,$31875.52,21,719,80,F,$198621.46,3.5,9500.98,$49361.62
Winifield,Oakenfield,PA,Junior Executive,$51321.54,9,633,33,M,$455599.03,3.6,1512.76,$53630.53
Yettie,Pinnijar,AZ,Actuary,$33556.44,5,772,66,F,$11326.37,3.6,8245.46,$42118.65
Glendon,Statton,DE,Civil Engineer,$45590.36,17,384,47,M,$138953.07,2.7,1677.94,$30025.36
Washington,Louder,CA,VP Marketing,$48925.94,9,565,61,M,$140825.37,3.6,4123.54,$40989.42
Homerus,Russam,CA,Quality Control Specialist,$42003.07,13,850,82,M,$180113.22,4.0,6388.03,$57670.05
Modesty,Wiley,IL,Web Designer II,$51409.50,17,705,82,F,$364793.28,2.9,4800.8,$58945.92
Sterne,McGlade,PA,Physical Therapy Assistant,$58410.81,21,661,23,M,$95040.29,2.8,9433.81,$41105.79
Ahmed,Oboy,FL,Professor,$56046.09,20,822,53,M,$13603.93,2.9,9214.92,$31112.12
Neill,Cogswell,MN,Environmental Specialist,$51535.47,9,541,45,M,$83833.15,3.9,8133.79,$31239.50
Stepha,Ballard,NE,Health Coach IV,$30087.11,29,620,51,F,$12052.28,3.5,4536.9,$25648.94
Nadine,Roja,NY,Librarian,$56591.74,10,385,64,F,$327831.56,3.1,718.2,$35984.50
Jacquelin,Coney,OR,Analog Circuit Design manager,$49655.53,7,784,63,F,$229158.41,3.4,1343.72,$47368.15
Levy,Warhurst,TX,Health Coach II,$57063.86,26,780,36,M,$395251.85,3.2,3721.39,$47856.35
Milka,Poker,FL,Health Coach I,$51332.24,30,404,34,F,$416514.18,2.6,2453.81,$3460.03
Brittan,Storm,CA,Sales Representative,$32812.35,18,498,31,F,$187123.94,2.6,8872.21,$61327.09
Mayne,Harome,IN,Clinical Specialist,$28801.96,16,699,63,M,$328671.32,2.7,4726.85,$9501.77
