first_name,last_name,state,Job_Title,Salary,Tenure,Credit_Score,Age,Sex,Loan_Amount,Interest_APR,Co_Borrower
Arch,Tithacott,OH,Paralegal,59485,1,387,76,1,178796,2.8,false
Coralyn,Tillman,NY,Compensation Analyst,514732,18,553,62,1,479158,3.23,false
Fara,Swainger,TX,Human Resources Assistant IV,562990,9,724,46,1,311856,3.76,true
Kalil,Chritchlow,CA,Physical Therapy Assistant,394755,11,337,62,1,252410,2.75,true
Annalee,Limrick,VA,Accountant II,360361,22,582,24,1,348527,2.87,false
Barnabas,Smithson,MN,Senior Financial Analyst,527769,25,576,82,2,106036,3.23,true
Erminia,Grayshon,AZ,Senior Sales Associate,455126,23,419,44,2,437349,3.54,false
Jessey,Lardiner,GA,Graphic Designer,35110,15,777,75,1,447632,3.84,true
Carmon,Clawsley,CO,Administrative Assistant I,157418,18,736,37,2,229245,3.44,false
Alyssa,Wallen,WI,Recruiter,196558,19,456,24,1,135678,3.62,true
Rory,Burbudge,LA,Research Nurse,563237,17,392,31,1,349813,2.83,false
Melba,Trobey,TN,Research Associate,382960,5,678,54,2,145925,2.72,true
Arlyn,Philpault,NY,Information Systems Manager,165025,11,566,78,1,62445,3.67,false
Tybie,Hoffman,OH,Senior Cost Accountant,105067,16,815,78,2,150306,3.65,true
Bathsheba,Scrauniage,NV,Senior Editor,485268,19,615,61,2,97324,3.3,true
Gibbie,Sute,TX,Nurse,596752,15,840,28,1,308971,3.27,true
Starr,Laskey,SC,Technical Writer,348386,22,557,47,2,289913,3.28,true
Antonina,Whittier,MI,Project Manager,473516,18,517,73,2,178737,3.14,false
Peyton,Stokes,MI,Environmental Specialist,447989,16,756,90,1,113366,3.09,false
Elias,Learmonth,PA,Business Systems Development Analyst,56177,19,577,49,2,166496,2.8,true
Marina,Agirre,PA,Account Representative III,568644,9,536,44,2,69748,2.54,true
Cassi,Thewless,FL,Senior Developer,414453,8,602,97,1,442727,3.18,false
Thomasina,Costelloe,NY,Business Systems Development Analyst,353449,2,724,18,2,384213,2.91,true
Neda,MacMickan,AZ,Environmental Specialist,478281,8,556,33,1,184238,2.64,false
Iona,Charville,NY,Automation Specialist IV,301221,20,704,89,1,377304,3.79,true
Warren,Sirl,MA,Human Resources Assistant II,558133,9,509,28,2,311912,2.88,true
Margaux,Paragreen,TX,Civil Engineer,427499,6,597,84,2,178653,3.78,false
Asa,Howarth,VA,Geologist IV,459810,21,707,40,1,144573,3.94,true
Caryl,Freda,WV,Media Manager II,302432,23,477,59,1,371347,3.9,false
Neel,Hanmore,NC,Information Systems Manager,22045,3,484,81,2,93093,3.04,true
Tallie,Santon,DC,Computer Systems Analyst II,257272,11,687,18,2,73353,3.36,false
Barbee,Kasper,MN,General Manager,447129,2,411,64,2,433973,3.1,false
Hadrian,Vidineev,CA,Internal Auditor,593547,15,620,96,1,482073,2.66,true
Gussy,Tunnicliff,TN,Pharmacist,471827,2,609,85,1,98252,2.87,true
Janifer,Relf,CA,Legal Assistant,294565,11,357,64,2,327942,2.9,false
Dorena,Schooley,TX,VP Marketing,116485,20,431,85,1,168709,3.98,false
Aylmer,Shoobridge,NY,Help Desk Operator,112529,5,485,94,1,486490,3.14,false
Cheslie,Tickner,TX,Research Associate,57704,18,758,67,2,219253,2.56,false
Lotty,Norcliffe,VA,Cost Accountant,514595,19,844,49,2,100171,3.06,false
Hunter,Bleakley,AR,Paralegal,460955,1,687,98,1,479717,3.0,false
Lenore,Saffer,NY,Database Administrator IV,147844,6,611,49,2,106122,3.77,false
Ritchie,Hansod,LA,Engineer I,180471,10,628,85,1,178904,3.2,false
Harris,Folder,PA,Accountant II,378238,7,723,59,2,331968,2.92,false
Iormina,Gavrielli,TX,Speech Pathologist,125458,23,560,45,2,139032,2.65,true
Minda,Redan,NY,Analyst Programmer,584507,25,818,32,2,355508,3.55,false
Cart,Stanfield,CO,Senior Cost Accountant,89307,24,630,19,2,469373,2.85,false
Dolph,Worswick,TX,Software Engineer III,533746,4,313,56,2,468214,3.39,false
Gianina,Reeman,NY,Accounting Assistant I,573140,2,740,23,1,384225,3.22,false
Katharine,Holtum,TX,Compensation Analyst,288640,4,762,48,2,315527,3.35,false
Crissie,Sibley,CA,Help Desk Operator,223095,25,307,63,2,355142,3.92,true
Carmine,Vedenichev,CA,Quality Engineer,117027,13,427,75,1,280162,3.03,true
Leigh,Rieger,NE,Financial Advisor,296909,5,447,75,1,289254,2.66,true
Hetty,Winfindine,IL,Staff Scientist,151147,21,705,72,2,258806,3.98,false
Chic,Sitch,CO,VP Sales,391429,7,711,53,1,404560,3.51,false
Prentice,Leftbridge,GA,Programmer Analyst II,407983,5,308,94,1,104249,3.25,false
Aldin,Sutlieff,PA,Quality Control Specialist,120512,21,350,84,1,432655,3.34,false
Gavrielle,Livermore,CA,Nuclear Power Engineer,571457,20,468,91,1,161455,3.71,false
Efren,Capelow,CA,Environmental Specialist,497239,14,747,99,1,433913,3.35,false
Winny,Acomb,VA,Office Assistant IV,90101,12,517,33,2,423691,2.61,false
Penrod,McIlvenna,KY,Social Worker,573110,15,795,22,2,331734,3.14,false
Casie,Kensett,AL,Database Administrator I,107451,11,515,83,2,406105,3.29,true
Marlow,Bulstrode,CA,Research Nurse,519498,11,541,45,2,199035,3.6,false
Lissa,Fellis,UT,Nurse,196655,21,773,56,1,438578,3.63,true
Marie-jeanne,Rowberry,PA,Quality Control Specialist,512152,21,796,69,2,229896,2.76,true
Brien,Merrikin,NC,Software Engineer I,141592,14,829,53,2,409900,3.97,true
Denny,Stutt,AR,Statistician III,439405,17,487,27,1,442324,3.05,false
Akim,Fouracre,CA,Community Outreach Specialist,74722,1,708,26,2,88234,3.29,false
Nanette,Devanney,AR,Senior Financial Analyst,541231,23,505,97,2,426965,2.84,true
Aundrea,Lindenbluth,GA,Internal Auditor,54643,3,305,95,2,354041,3.43,false
Hazel,Desporte,SC,Programmer Analyst III,58791,10,591,38,1,89363,3.83,true
Krispin,Pullinger,IL,Operator,296304,16,850,40,1,460185,2.53,false
Car,Gamwell,AL,Office Assistant III,338960,13,635,81,1,415113,3.87,true
Zane,Gooderson,KY,Account Executive,159359,15,582,63,1,155549,2.98,false
Ardenia,Hutchison,OH,Office Assistant III,397863,24,564,19,1,404745,3.9,false
Waylon,Crinidge,KY,Quality Control Specialist,139167,5,404,76,1,402093,3.04,true
Arabella,Yukhin,IL,Junior Executive,377147,4,361,82,1,225945,3.8,true
Corene,Farrant,TX,Senior Developer,35648,3,700,75,1,114785,3.91,false
Filip,Scading,KY,Senior Editor,244343,8,512,45,1,401047,2.81,true
Tallie,Pachta,WA,Financial Analyst,332130,10,487,88,2,426231,3.47,false
Selena,Pattrick,AK,Automation Specialist I,447445,16,493,32,2,264986,2.78,true
Emmit,Dakin,NV,Food Chemist,255049,24,673,35,1,409390,3.01,false
Quinlan,Stonbridge,IL,Quality Control Specialist,318361,18,363,57,2,215505,3.94,true
Sheila-kathryn,Stores,NM,Professor,181520,14,543,64,1,216048,3.33,true
Lisa,Ovitz,CT,Actuary,152308,24,689,78,2,474153,2.71,false
Jemmy,Lancashire,MO,Sales Representative,467475,24,601,75,1,196213,3.22,true
Isa,Munnion,VA,Software Test Engineer IV,61219,13,351,66,1,200420,2.95,false
Kettie,Tunn,TX,Office Assistant III,326053,15,512,24,2,315621,2.71,true
Deloria,Higgan,UT,Operator,447389,21,780,65,1,420399,3.01,true
Lilli,Rosi,VA,Product Engineer,87926,14,699,59,1,84313,3.86,false
Dill,Caccavale,TX,Programmer I,541389,6,391,91,2,137605,2.72,false
Else,Buttner,VA,Budget/Accounting Analyst II,270829,11,762,30,1,179901,3.31,false
Mame,Rubury,FL,Financial Advisor,133412,18,735,98,1,173372,3.92,true
Heloise,Cluer,NY,Payment Adjustment Coordinator,205703,22,546,75,2,166456,3.75,false
Rubin,Jessen,DC,Dental Hygienist,257641,3,554,83,2,316525,2.71,true
Annmaria,Robbings,ID,Recruiter,170102,10,702,92,2,219606,3.2,true
Fidela,Noirel,CA,Associate Professor,310933,3,588,62,1,212227,3.28,false
Rafferty,Tawse,CA,Staff Scientist,510675,12,830,91,2,378660,3.28,true
Timmy,Olyonov,NE,Systems Administrator III,557112,3,418,64,2,422890,3.3,false
Stepha,Yerborn,IN,Environmental Tech,124417,14,755,49,2,423382,3.86,false
Jeanelle,Laxson,TX,Pharmacist,541606,11,475,47,1,313258,3.16,false
Olva,Baterip,FL,VP Marketing,100891,7,826,35,2,463860,2.7,true
Marietta,O'Murtagh,MN,Professor,520026,11,619,100,2,54128,3.22,false
Timotheus,Weddell,PA,Environmental Tech,102876,12,641,96,2,347652,2.92,false
Gerick,Stile,OH,Nuclear Power Engineer,113903,14,587,47,1,298068,3.43,true
Gaylor,Tranmer,IL,Systems Administrator II,139430,14,694,90,1,265147,3.88,false
Rainer,Kilshaw,GA,Biostatistician II,151068,15,774,32,1,104597,3.88,true
Adaline,Dugget,WI,Assistant Manager,258941,11,713,36,2,101375,3.76,true
Wanda,Burroughes,MN,Senior Sales Associate,562323,14,715,20,1,305377,3.12,true
Adriane,Crane,TX,Help Desk Technician,158345,20,733,49,1,132092,2.86,false
Chrisse,Collete,OH,Analog Circuit Design manager,369376,10,757,62,2,368511,4.0,true
Rick,Postles,MT,Sales Associate,593329,6,502,91,1,398952,2.52,false
Paulina,Fildery,HI,Computer Systems Analyst I,497897,24,601,91,1,172351,2.96,false
Stephanus,Cammell,CA,Database Administrator I,395256,19,430,64,1,470349,3.73,false
Kalina,Brigge,FL,Marketing Manager,452921,1,419,40,1,288139,3.24,false
Lynnelle,Kings,PA,Database Administrator I,566646,10,820,57,2,251243,3.76,false
Rose,Heathcote,AZ,Software Test Engineer III,552903,10,568,42,1,241810,3.14,true
Cleveland,McCarter,OH,Technical Writer,553351,7,681,67,2,58570,3.04,true
Maud,Habercham,OH,Sales Representative,427715,4,319,100,1,362835,3.72,true
Elora,Hehir,FL,Chief Design Engineer,529191,10,629,56,2,432267,2.99,false
Richard,Lamond,NC,VP Sales,98347,16,695,75,2,193693,3.45,true
Westley,Andrzej,FL,Compensation Analyst,478095,14,718,66,1,209211,3.42,false
Whitaker,Mechan,CO,Compensation Analyst,562791,4,810,30,1,421667,3.51,false
Christalle,Backs,AL,VP Quality Control,222125,15,420,92,1,372376,3.9,true
Dino,Kealey,FL,Developer III,335937,22,787,62,1,291344,3.24,false
Earvin,Winwood,MO,Health Coach IV,32438,22,615,51,2,305707,3.54,true
Tiffani,Kadwallider,IN,Geological Engineer,267876,2,765,61,1,496377,3.45,true
Charo,Scates,NC,Structural Analysis Engineer,291426,7,488,27,1,313111,3.52,true
Dermot,Argyle,CA,Systems Administrator IV,412536,17,651,53,1,211878,3.51,false
Helenka,Stourton,OR,VP Quality Control,141948,6,654,73,1,298122,3.66,true
Fanya,Rawles,MS,Analyst Programmer,157185,2,514,85,1,246829,3.15,true
Les,Dwyr,NY,Account Representative I,447469,13,725,72,1,154542,2.53,true
Maighdiln,Sambrok,MA,VP Marketing,515177,11,319,57,2,491628,3.31,false
Inglebert,MacAughtrie,OK,Editor,191832,19,441,60,2,437296,3.07,true
Dudley,Milsom,MT,Biostatistician IV,399665,20,519,51,2,295642,2.93,true
Giff,Ochterlony,DC,Data Coordiator,410730,11,593,55,1,253208,2.74,true
Aile,Berget,TX,Tax Accountant,561045,4,667,42,2,444092,2.8,true
Juan,Belch,CA,General Manager,487692,7,468,70,1,444937,2.67,false
Red,Sute,NM,Biostatistician II,501863,4,804,85,1,360716,2.76,false
Judon,Cardenas,OK,Human Resources Manager,592027,1,846,30,1,412555,3.16,true
Kettie,Bogace,WA,Food Chemist,46831,5,600,65,2,57288,3.67,true
Ryann,Colvie,NH,Analog Circuit Design manager,246506,6,515,89,1,230180,2.98,true
Celie,Worters,KS,Junior Executive,213057,4,472,58,2,468907,2.92,true
Chet,Olligan,NY,Occupational Therapist,498929,4,494,36,1,138772,2.56,false
Holden,Teliga,DC,Staff Accountant I,224851,17,789,39,1,437911,3.72,true
Moise,Kettlestringe,CA,Office Assistant I,184767,6,449,48,2,190010,2.77,false
Shurlock,Gahan,FL,Nuclear Power Engineer,490751,19,343,82,2,334398,3.56,false
Griffy,Clarage,AZ,Associate Professor,454630,10,505,95,2,325163,3.35,false
Julian,De-Ville,GA,Analyst Programmer,88018,25,716,40,1,64191,3.36,false
Candis,Topp,CA,Developer II,455005,25,729,52,2,486242,2.95,false
Katharine,Lindop,CA,Physical Therapy Assistant,494177,8,476,76,2,476313,2.85,false
Russ,Craigmyle,SD,Graphic Designer,552843,1,809,21,1,463185,2.6,true
Brok,Mullins,CA,Help Desk Technician,271316,11,322,93,2,343220,3.54,false
Nonah,Franceschino,TX,Marketing Assistant,255915,19,491,43,2,353254,3.93,true
Ode,MacKissack,TX,Analog Circuit Design manager,140162,10,323,93,1,260639,3.79,true
Major,Legerwood,AZ,Geologist III,441561,11,349,82,2,444578,2.66,false
Petronilla,Franzonello,MO,Research Associate,245923,22,367,44,1,433717,3.99,false
Angelina,Soall,CA,Geological Engineer,259948,3,355,95,2,125027,3.4,false
Byrom,Batram,DC,Registered Nurse,181719,10,442,81,2,279697,2.6,true
Sherri,Chanders,PA,Staff Accountant I,41496,16,455,60,1,287300,3.63,false
Ailene,Jozsa,LA,Nurse Practicioner,149753,18,566,60,1,272939,3.22,false
Hamel,Tiffney,CA,GIS Technical Architect,287599,21,381,54,2,401011,3.28,true
Putnem,Kershow,FL,Internal Auditor,455727,18,687,41,1,469043,2.62,true
Demetris,Mouat,IA,VP Marketing,331414,15,349,60,1,99963,2.95,true
Skelly,Rodden,MO,Information Systems Manager,256951,12,512,44,1,241345,3.49,true
Caresa,Marnane,CA,Data Coordiator,286837,24,803,65,1,133912,3.33,true
Townsend,Newlyn,IL,Biostatistician III,571202,15,569,46,1,342085,2.65,true
Daffy,Tingcomb,KS,Speech Pathologist,245547,9,629,79,1,110332,3.82,true
Iver,Willas,FL,Developer IV,180351,12,675,59,2,350208,3.63,false
Eadmund,Robson,NY,Web Designer II,278829,13,805,90,2,114677,3.54,true
Elyn,Babidge,HI,Graphic Designer,94018,25,833,91,2,122162,3.28,false
Willamina,Scottesmoor,CA,Chief Design Engineer,421915,2,837,61,1,250884,2.59,false
Giulietta,Luscott,PA,Geologist III,555966,17,780,63,1,332538,3.27,true
Felisha,Colliar,TX,Social Worker,338279,11,806,26,1,123636,3.26,false
Giorgi,Penticost,TX,Web Developer III,421959,24,814,18,2,56841,3.67,true
Herculie,Minghella,CA,Junior Executive,363450,7,504,80,1,234964,3.31,false
Chlo,Wippermann,CA,GIS Technical Architect,164773,6,305,66,2,468015,3.97,false
Mischa,Bott,TX,Structural Engineer,359399,7,336,20,2,203936,3.79,false
Riordan,Dadson,NC,Associate Professor,126083,5,784,45,1,406301,3.27,false
Lyn,Comsty,VA,Graphic Designer,452722,16,387,73,1,363975,3.16,true
Heath,Morritt,VA,Nurse Practicioner,220820,1,342,42,1,463807,3.18,true
Alfonse,Hawkeswood,CA,Desktop Support Technician,464220,22,509,41,1,63053,3.9,true
Maryanne,McCallam,FL,Librarian,53472,20,334,47,1,431184,2.94,false
Raimundo,Randleson,FL,Automation Specialist III,264901,17,593,20,2,233540,3.28,true
Stewart,Vidgen,FL,Sales Associate,309898,20,354,70,1,438995,3.28,true
Ronalda,Readhead,OH,VP Quality Control,538340,15,838,93,1,239455,2.9,false
Leonard,Tancock,DE,Tax Accountant,588674,10,448,52,2,205990,3.61,true
Harv,Kilshall,TX,Account Representative III,502476,1,330,51,2,413698,2.67,true
Cullan,Espinal,HI,Financial Advisor,254441,4,596,70,1,170300,3.4,false
Myrvyn,Brims,MO,Compensation Analyst,406264,2,325,60,2,327988,3.22,false
Jake,Quarlis,VA,Electrical Engineer,177617,25,660,77,2,448494,3.53,true
Gal,Maggiori,VA,Administrative Assistant II,501024,2,828,43,1,401682,3.47,false
Kennett,Drohan,NY,Software Engineer II,428839,17,746,39,2,367327,3.72,false
Carmelia,Fenix,NY,Senior Developer,40347,20,696,71,2,358400,3.16,false
Adham,Ead,VA,Marketing Manager,113503,9,545,30,1,303730,2.8,false
Fran,Revance,IL,VP Sales,553441,5,432,99,1,153254,3.3,false
Denys,Macellar,MN,Help Desk Technician,64608,24,357,73,1,154545,2.52,true
Kath,Ambler,TX,Chemical Engineer,359466,16,764,60,1,166998,3.73,false
Lesley,Arter,LA,Community Outreach Specialist,452632,7,328,94,1,169310,3.38,true
Kordula,Geri,DC,Project Manager,488876,5,563,40,2,310352,3.06,true
Oswald,Folling,TX,Environmental Tech,391042,9,838,23,2,286068,3.1,true
Kellsie,Kesley,AK,Librarian,441285,21,484,53,2,339894,3.12,false
Mag,Conford,DC,Clinical Specialist,544635,2,793,43,1,403051,3.54,false
Gaile,McWilliam,TX,Design Engineer,484668,19,363,33,1,285846,3.59,true
Heidi,Stocking,DC,Technical Writer,328943,6,790,63,2,278669,2.84,true
Mahmoud,Bachs,MD,Community Outreach Specialist,353061,14,647,43,2,137929,3.59,false
Piper,Quixley,FL,Administrative Officer,132803,9,580,99,1,202435,2.58,false
Sapphira,Tosh,MI,Graphic Designer,40619,1,411,75,1,65447,3.66,false
Candida,Pavlenko,TX,Staff Accountant IV,41321,10,531,44,1,85534,2.9,false
Dilan,Cypler,PA,Business Systems Development Analyst,438849,5,427,24,2,126255,3.5,false
Auberta,Kirkup,MI,Clinical Specialist,375741,17,527,81,2,167007,3.94,false
Gertruda,Cretney,OR,Tax Accountant,428190,6,710,21,1,400558,2.55,false
Yolane,Capstake,IL,Geologist III,339621,19,317,71,2,329863,3.32,true
Jenica,Bayne,MN,Registered Nurse,535009,6,407,41,2,410461,2.98,false
Rochelle,Stamp,MI,Director of Sales,175481,22,631,50,2,471510,3.2,true
Doralynn,Rennard,NY,Office Assistant I,202816,11,330,94,2,247783,2.91,true
Marje,Mulholland,OH,Analyst Programmer,57423,23,416,74,2,477776,3.73,false
Charlotta,Bengtsen,WV,Engineer IV,164820,21,449,37,1,215547,3.06,false
Dru,Oxley,KS,Senior Editor,520145,23,488,21,2,279505,3.27,false
Skipper,Gorhardt,PA,Cost Accountant,435741,9,739,33,1,210476,2.65,false
Lucas,Gingedale,MI,Senior Quality Engineer,445570,19,591,69,1,269346,2.93,true
Calla,Forbear,OH,VP Quality Control,356579,16,497,67,2,456877,3.22,true
Georgia,Vairow,MD,Quality Control Specialist,416486,15,692,87,1,85767,3.1,false
Gwendolin,Cockshutt,VA,Actuary,57721,20,579,39,1,63944,3.65,true
Marlo,Abelevitz,SC,Research Nurse,407182,20,465,25,2,422679,3.11,false
Lauryn,Lutas,IN,Senior Quality Engineer,190399,19,672,84,1,352949,3.42,false
Marya,Bernuzzi,AK,Sales Associate,570951,5,375,100,1,89873,3.31,true
Lilias,Tripony,CO,Internal Auditor,103770,16,812,44,1,473350,3.65,false
Wallis,Vauls,AR,Staff Scientist,515893,22,476,34,1,254908,2.91,false
Rosie,Weed,TX,Engineer II,388320,22,313,36,1,297168,3.3,true
Augy,Vango,VA,General Manager,386307,17,396,78,2,128560,3.67,true
Gussy,Molan,FL,Accountant III,240401,15,517,27,1,434633,3.72,false
Pacorro,Tunuy,NY,Clinical Specialist,499007,5,663,35,2,79111,3.94,false
Niki,Ruffell,FL,Environmental Tech,173698,2,639,89,1,121528,3.96,true
Daniela,Reinert,AL,VP Product Management,21975,3,725,62,2,64449,2.81,false
Donnell,Tuckey,GA,Nurse Practicioner,168115,13,356,42,2,127242,3.68,false
Keriann,Fyfield,NY,Pharmacist,287196,18,523,54,2,348337,3.84,true
Berny,Bengough,OH,Editor,218543,21,830,94,1,455416,3.42,false
Maryjane,Belfrage,NV,Desktop Support Technician,327579,19,413,84,1,339404,3.26,true
Siffre,Blythe,TX,Actuary,346443,3,514,64,1,358985,3.75,true
Lynelle,Loody,TX,Senior Editor,209191,3,346,68,1,486883,3.93,true
Marty,Randerson,FL,Speech Pathologist,596521,10,430,100,1,173558,3.34,true
Andria,Coit,TN,Database Administrator III,516532,16,333,81,1,453259,2.98,false
Bevin,Mawby,TX,Help Desk Technician,480798,5,615,97,2,407904,3.3,false
Dari,Shillaker,HI,Internal Auditor,227423,22,835,31,2,298936,2.57,true
Ursa,Noakes,CT,Design Engineer,410470,9,433,50,2,404562,3.95,false
Essie,Brophy,MD,Community Outreach Specialist,197257,22,679,28,1,264455,2.67,true
Alice,Goaks,NE,Account Executive,377618,15,334,34,2,94139,3.53,false
Oliy,Dressel,NY,Associate Professor,410192,14,313,72,1,188823,3.64,false
Kort,Mackerness,IN,Sales Representative,354023,25,597,65,2,478398,3.37,false
Rhianna,Kobu,TX,Assistant Manager,175805,19,445,74,1,177845,3.1,false
Isabelle,Gosling,IL,Software Test Engineer II,44419,23,832,44,1,78501,3.42,false
Katrinka,Jeremaes,SC,Paralegal,293479,24,676,63,2,395695,3.58,false
Wilmer,Quarmby,CT,Web Designer III,376479,20,730,20,2,389734,2.74,false
Hyacinthie,Hodge,KY,Senior Quality Engineer,476558,15,464,74,1,311896,2.88,false
Elset,Pessler,NY,Web Developer II,40797,17,541,24,2,213295,3.61,true
Nani,Mattschas,FL,Assistant Manager,587561,14,419,99,1,409772,3.7,false
Brien,Kalvin,CA,Nurse,293988,17,759,88,1,66298,3.32,false
Cristy,Doncaster,ID,Editor,43642,2,354,45,2,320066,3.85,true
Damien,Pretsell,TX,Administrative Assistant III,264952,12,417,47,1,393000,2.82,true
Rodolphe,Kerner,AL,Nuclear Power Engineer,466551,9,495,67,1,126198,2.55,false
Chryste,Lighton,MI,Marketing Manager,420706,22,409,93,1,89035,3.14,false
Barnabas,Dugdale,FL,Environmental Tech,237449,17,472,20,2,161140,2.99,true
Barnard,Yesichev,PA,Librarian,576311,25,639,99,2,344730,3.66,true
Burgess,Law,DC,Analog Circuit Design manager,129663,16,452,48,1,194613,3.46,true
Annora,Girton,LA,Help Desk Operator,456747,14,654,84,1,210428,2.83,false
Barthel,Dobbison,AZ,Database Administrator III,537779,1,457,18,2,388491,2.88,true
Sophi,Brouwer,FL,Staff Accountant II,148776,12,400,32,1,66536,3.28,true
Jan,Gregol,NV,Senior Cost Accountant,288657,4,589,82,2,76596,3.58,false
Jorge,Trubshawe,VA,Analog Circuit Design manager,113036,16,726,32,2,386172,2.68,true
Cilka,Kachel,AZ,Administrative Officer,62771,10,571,79,1,147412,3.24,true
Flemming,Cawston,GA,Geologist III,215540,6,711,73,1,127444,2.79,false
Lotti,Keers,FL,Electrical Engineer,238269,18,695,79,2,444536,3.92,true
Judye,De Roeck,CA,Programmer Analyst IV,507121,13,330,28,2,59843,3.52,true
Malachi,Dungate,FL,Programmer IV,212042,17,624,80,1,475058,3.3,false
Gloria,Hartas,TN,Data Coordiator,34886,23,302,31,2,365556,3.58,false
Jolyn,McParland,NM,Chemical Engineer,469509,4,618,70,1,482095,2.98,false
Chicky,Hurrion,NY,Administrative Officer,429272,14,820,89,1,181600,2.53,false
Joly,Perillo,MA,Quality Engineer,28061,2,761,93,1,178727,3.43,false
Lynn,Cherrison,LA,Help Desk Operator,239416,23,672,50,2,122431,3.06,false
Kristin,Cornilleau,NY,Developer IV,539930,1,553,34,1,243676,3.04,true
Cybill,Pedrol,IA,Automation Specialist III,83498,7,615,25,2,340968,3.08,true
Gabbie,Khrishtafovich,MN,VP Quality Control,193680,23,565,92,2,77295,3.14,true
Kat,Erdely,CO,Safety Technician IV,61242,3,784,24,1,307745,2.51,false
Sheffie,Dore,FL,Research Associate,594706,17,361,48,2,129759,3.5,true
Scarlet,Happert,MA,Assistant Manager,266710,15,581,32,1,301805,2.72,false
Nananne,Sante,GA,Business Systems Development Analyst,61170,13,836,45,1,170782,2.76,true
Dotti,Glossop,UT,Nurse Practicioner,450714,9,757,34,1,142059,2.92,false
Damon,Steinor,KY,Product Engineer,109945,11,374,48,1,458976,3.29,false
Nahum,Faragan,TX,Payment Adjustment Coordinator,275006,11,409,51,2,347847,3.6,true
Agretha,Scholtz,AZ,Professor,300965,6,665,75,1,164902,2.92,false
Matthieu,Merriday,NY,Senior Quality Engineer,92441,9,539,31,2,50186,2.54,false
Aurora,Quan,FL,Physical Therapy Assistant,425168,25,760,19,1,324727,3.56,true
Ernest,Bolger,VA,VP Marketing,115454,14,384,79,2,258536,2.77,false
Marcus,Gerritsma,NC,Sales Associate,482632,14,504,89,2,187612,3.17,false
